start_id,end_id
"2020 International Conference on Cyber Security and Protection of Digital Services, Cyber Security 2020","International Conference on Cyber Security and Protection of Digital Services, Cyber Security 2020"
"2020 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2020","Proceedings - 2020 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2020"
"2019 INFOCOM IEEE Conference on Computer Communications Workshops, INFOCOM WKSHPS 2019","INFOCOM 2019 - IEEE Conference on Computer Communications Workshops, INFOCOM WKSHPS 2019"
"7th International Conference on Fog and Mobile Edge Computing, FMEC 2022","2022 7th International Conference on Fog and Mobile Edge Computing, FMEC 2022"
"2019 IEEE International Conference on Signal Processing, Information, Communication and Systems, SPICSCON 2019","2019 IEEE International Conference on Signal Processing, Information, Communication and Systems, SPICSCON 2019"
"28th Euromicro International Conference on Parallel, Distributed and Network-Based Processing, PDP 2020","Proceedings - 2020 28th Euromicro International Conference on Parallel, Distributed and Network-Based Processing, PDP 2020"
"21st European Conference on Knowledge Management, ECKM 2020","Proceedings of the European Conference on Knowledge Management, ECKM"
"2017 International Smart Cities Conference, ISC2 2017","2017 International Smart Cities Conference, ISC2 2017"
"2021 IEEE International Conference on Communications Workshops, ICC Workshops 2021","2021 IEEE International Conference on Communications Workshops, ICC Workshops 2021 - Proceedings"
"2022 IEEE/IFIP Network Operations and Management Symposium, NOMS 2022","Proceedings of the IEEE/IFIP Network Operations and Management Symposium 2022: Network and Service Management in the Era of Cloudification, Softwarization and Artificial Intelligence, NOMS 2022"
"9th IEEE International Conference on Smart Energy Grid Engineering, SEGE 2021","2021 9th IEEE International Conference on Smart Energy Grid Engineering, SEGE 2021"
"7th IEEE European Symposium on Security and Privacy, Euro S and P 2022","Proceedings - 7th IEEE European Symposium on Security and Privacy, Euro S and P 2022"
"2022 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events, PerCom Workshops 2022","2022 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events, PerCom Workshops 2022"
"16th Annual IEEE International Systems Conference, SysCon 2022","SysCon 2022 - 16th Annual IEEE International Systems Conference, Proceedings"
"2020 RIVF International Conference on Computing and Communication Technologies, RIVF 2020","Proceedings - 2020 RIVF International Conference on Computing and Communication Technologies, RIVF 2020"
"2022 IEEE International Conference on Digital Health, ICDH 2022","Proceedings - 2022 IEEE International Conference on Digital Health, ICDH 2022"
"2021 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2021","Proceedings - 2021 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2021"
"2015 International Workshop on Data Mining with Industrial Applications, DMIA 2015","Proceedings - 2015 International Workshop on Data Mining with Industrial Applications, DMIA 2015: Part of the ETyC 2015"
"4th International Conference on Information Technology, Information Systems and Electrical Engineering, ICITISEE 2019","2019 4th International Conference on Information Technology, Information Systems and Electrical Engineering, ICITISEE 2019"
"29th ACM International Conference on Information and Knowledge Management, CIKM 2020","International Conference on Information and Knowledge Management, Proceedings"
"2022 IEEE-EMBS International Conference on Biomedical and Health Informatics, BHI 2022","BHI-BSN 2022 - IEEE-EMBS International Conference on Biomedical and Health Informatics and IEEE-EMBS International Conference on Wearable and Implantable Body Sensor Networks, Symposium Proceedings"
"2nd Asian Conference on Innovation in Technology, ASIANCON 2022","2022 2nd Asian Conference on Innovation in Technology, ASIANCON 2022"
"2nd International Conference on Distributed Computing and High Performance Computing, DCHPC 2022","2022 2nd International Conference on Distributed Computing and High Performance Computing, DCHPC 2022"
"25th International Conference on Enterprise Information Systems, ICEIS 2023","International Conference on Enterprise Information Systems, ICEIS - Proceedings"
"2017 IEEE SmartWorld Ubiquitous Intelligence and Computing, Advanced and Trusted Computed, Scalable Computing and Communications, Cloud and Big Data Computing, Internet of People and Smart City Innovation, SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI 2017","2017 IEEE SmartWorld Ubiquitous Intelligence and Computing, Advanced and Trusted Computed, Scalable Computing and Communications, Cloud and Big Data Computing, Internet of People and Smart City Innovation, SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI 2017 - Conference Proceedings"
"10th IEEE International Conference on Data Science and Advanced Analytics, DSAA 2023","2023 IEEE 10th International Conference on Data Science and Advanced Analytics, DSAA 2023 - Proceedings"
"24th ACM International Conference on Information and Knowledge Management, CIKM 2015","International Conference on Information and Knowledge Management, Proceedings"
"2022 IEEE Asia-Pacific Conference on Computer Science and Data Engineering, CSDE 2022","Proceedings of IEEE Asia-Pacific Conference on Computer Science and Data Engineering, CSDE 2022"
"19th IEEE International Symposium on Signal Processing and Information Technology, ISSPIT 2019","2019 IEEE 19th International Symposium on Signal Processing and Information Technology, ISSPIT 2019"
"2020 International Conference on UK-China Emerging Technologies, UCET 2020","2020 International Conference on UK-China Emerging Technologies, UCET 2020"
"2nd International Informatics and Software Engineering Conference, IISEC 2021","2nd International Informatics and Software Engineering Conference, IISEC 2021"
"19th IEEE International Conference on Trust, Security and Privacy in Computing and Communications, TrustCom 2020","Proceedings - 2020 IEEE 19th International Conference on Trust, Security and Privacy in Computing and Communications, TrustCom 2020"
"20th IEEE Jubilee World Symposium on Applied Machine Intelligence and Informatics, SAMI 2022","SAMI 2022 - IEEE 20th Jubilee World Symposium on Applied Machine Intelligence and Informatics, Proceedings"
"17th IEEE International Symposium on Workload Characterization, IISWC 2021","Proceedings - 2021 IEEE International Symposium on Workload Characterization, IISWC 2021"
"15th IEEE International Conference on Security of Information and Networks, SIN 2022","Proceedings of the 2022 15th IEEE International Conference on Security of Information and Networks, SIN 2022"
"9th International Conference on System Modeling and Advancement in Research Trends, SMART 2020","Proceedings of the 2020 9th International Conference on System Modeling and Advancement in Research Trends, SMART 2020"
"16th IEEE International Conference on Dependable, Autonomic and Secure Computing, IEEE 16th International Conference on Pervasive Intelligence and Computing, IEEE 4th International Conference on Big Data Intelligence and Computing and IEEE 3rd Cyber Science and Technology Congress, DASC-PICom-DataCom-CyberSciTec 2018","Proceedings - IEEE 16th International Conference on Dependable, Autonomic and Secure Computing, IEEE 16th International Conference on Pervasive Intelligence and Computing, IEEE 4th International Conference on Big Data Intelligence and Computing and IEEE 3rd Cyber Science and Technology Congress, DASC-PICom-DataCom-CyberSciTec 2018"
"1999 Workshop on Knowledge and Data Engineering Exchange, KDEX 1999","Proceedings - 1999 Workshop on Knowledge and Data Engineering Exchange, KDEX 1999"
"2022 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies, 3ICT 2022","2022 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies, 3ICT 2022"
"2020 International Conference on Computer Science and Software Engineering, CSASE 2020","Proceedings of the 2020 International Conference on Computer Science and Software Engineering, CSASE 2020"
"2020 IEEE/IFIP Network Operations and Management Symposium, NOMS 2020","Proceedings of IEEE/IFIP Network Operations and Management Symposium 2020: Management in the Age of Softwarization and Artificial Intelligence, NOMS 2020"
"2021 IEEE Conference on Computer Communications Workshops, INFOCOM WKSHPS 2021","IEEE INFOCOM 2021 - IEEE Conference on Computer Communications Workshops, INFOCOM WKSHPS 2021"
"18th International Conference of Network and Service Management, CNSM 2022","Proceedings of the 2022 18th International Conference of Network and Service Management: Intelligent Management of Disruptive Network Technologies and Services, CNSM 2022"
"2nd International Conference on Artificial Intelligence in Information and Communication, ICAIIC 2020","2020 International Conference on Artificial Intelligence in Information and Communication, ICAIIC 2020"
"19th International Conference on Smart Business Technologies, ICSBT 2022",ICSBT International Conference on Smart Business Technologies
"13th International Conference on Network and Service Management, CNSM 2017","2017 13th International Conference on Network and Service Management, CNSM 2017"
"2020 Spring Simulation Conference, SpringSim 2020","Proceedings of the 2020 Spring Simulation Conference, SpringSim 2020"
"2014 IEEE International Conference on Data Science and Advanced Analytics, DSAA 2014",DSAA 2014 - Proceedings of the 2014 IEEE International Conference on Data Science and Advanced Analytics
"2020 IEEE Congress on Evolutionary Computation, CEC 2020","2020 IEEE Congress on Evolutionary Computation, CEC 2020 - Conference Proceedings"
"2023 Systems and Information Engineering Design Symposium, SIEDS 2023","2023 Systems and Information Engineering Design Symposium, SIEDS 2023"
"2nd IEEE International Conference on Blockchain, Blockchain 2019","Proceedings - 2019 2nd IEEE International Conference on Blockchain, Blockchain 2019"
"54th Annual Conference on Information Sciences and Systems, CISS 2020","2020 54th Annual Conference on Information Sciences and Systems, CISS 2020"
"22nd IEEE Conference on Business Informatics, CBI 2020","Proceedings - 2020 IEEE 22nd Conference on Business Informatics, CBI 2020"
"2021 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies, 3ICT 2021","2021 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies, 3ICT 2021"
"6th International Conference on Inventive Computation Technologies, ICICT 2021","Proceedings of the 6th International Conference on Inventive Computation Technologies, ICICT 2021"
"8th E-Health and Bioengineering Conference, EHB 2020","2020 8th E-Health and Bioengineering Conference, EHB 2020"
"9th IEEE International Conference on Big Data Computing Service and Applications, BigDataService 2023","Proceedings - IEEE 9th International Conference on Big Data Computing Service and Applications, BigDataService 2023"
"8th International Conference on Information and Communication Technology Convergence, ICTC 2017","International Conference on Information and Communication Technology Convergence: ICT Convergence Technologies Leading the Fourth Industrial Revolution, ICTC 2017"
"10th International Conference on Information and Communication Technology Convergence, ICTC 2019",ICTC 2019 - 10th International Conference on ICT Convergence: ICT Convergence Leading the Autonomous Future
"6th IEEE International Conference on Big Data Security on Cloud, BigDataSecurity 2020, 6th IEEE International Conference on High Performance and Smart Computing, HPSC 2020 and 5th IEEE International Conference on Intelligent Data and Security, IDS 2020","Proceedings - 2020 IEEE 6th Intl Conference on Big Data Security on Cloud, BigDataSecurity 2020, 2020 IEEE Intl Conference on High Performance and Smart Computing, HPSC 2020 and 2020 IEEE Intl Conference on Intelligent Data and Security, IDS 2020"
"2023 International Conference on Computing, Networking and Communications, ICNC 2023","2023 International Conference on Computing, Networking and Communications, ICNC 2023"
"2021 International Conference on Innovative Practices in Technology and Management, ICIPTM 2021","Proceedings of International Conference on Innovative Practices in Technology and Management, ICIPTM 2021"
"2020 IEEE Conference on Network Function Virtualization and Software Defined Networks, NFV-SDN 2020","2020 IEEE Conference on Network Function Virtualization and Software Defined Networks, NFV-SDN 2020 - Proceedings"
