name,year,city
"International Conference on Informatics and Computing, ICIC",2023,"Hybrid, Malang"
"IEEE International Symposium on Computational Intelligence and Informatics, CINTI",2023,Budapest
"International Conference on Current and Future Trends of Information and Communication Technologies in Healthcare, EUSPN/ICTH",2023,Almaty
EnviroInfo,2023,Garching
"International Conference on Biological Engineering and Medical Science, ICBioMed",2023,"Virtual, Online"
"Conference on Empirical Methods in Natural Language Processing, EMNLP",2023,"Hybrid, Singapore"
"Workshop on Generalisation (Benchmarking) in NLP, GenBench",,Singapore
"International Workshop on Computational Approaches to Historical Language Change, LChange",,Singapore
"Workshop on Computational Terminology in NLP and Translation Studies, ConTeNTS",,Varna
"Machine Translation Summit, MT Summit",2023,Macau
"Smart Systems Integration Conference and Exhibition, SSI",2023,Brugge
"International Conference on Affective Computing and Intelligent Interaction, ACII",2023,Cambridge
"Symposium on Internet of Things, SIoT",2023,Sao Paulo
"2023 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies, 3ICT 2023",2023,"Virtual, Online"
"International Informatics and Software Engineering Conference, IISEC",2023,Ankara
"IEEE International Conference on Intelligent Computing and Information Systems, ICICIS",2023,Cairo
"International Conference on Advanced Computing Technologies and Applications, ICACTA",2023,Mumbai
"Learning. Knowledge. Data. Analytics, LWDA",2023,Marburg
"International Conference on Intelligent Computing and Next Generation Networks, ICNGN",2023,Hangzhou
"IEEE North Karnataka Subsection Flagship International Conference, NKCon",2023,Karnataka
"International Symposium on Computing and Networking, CANDAR",2023,Matsue
"IEEE Latin American Conference on Computational Intelligence, LA-CCI",2023,Recife-Pe
"IEEE International Conference on Visual Communications and Image Processing, VCIP",2023,Jeju
"IEEE International Conference on Smart Structures and Systems, ICSSS",2023,Chennai
"International Conference on Artificial Intelligence and Computer Applications, ICAICA",2023,Dalian
"International Symposium on Computing and Networking Workshops, CANDARW",2023,Matsue
"International Conference on Big Data Computing and Communications, BigCom",2023,Hainan
"International Conference on Dependable Systems, Services and Technologies, DESSERT",2023,Athens
"International Conference on Artificial Intelligence and Intelligent Information Processing, AIIIP",2023,Hangzhou
"International Conference on Advanced Robotics, ICAR",2023,Abu Dhabi
"IEEE International Conference on Communication, Networks and Satellite, COMNETSAT",2023,Malang
"International Conference on Electronics, Communication and Aerospace Technology, ICECA",2023,Coimbatore
"International Conference on Recent Advances in Science and Engineering Technology, ICRASET",2023,B.G Nagara
"International Conference on Electronics, Materials Engineering and Nano-Technology, IEMENTech",2023,"Hybrid, Kolkata"
"Computer Applications and Technological Solutions, CATS",2023,Mubarak Al-Abdullah
"International Conference on Ubiquitous Information Management and Communication, IMCOM",2024,Kuala Lumpur
"IEEE Symposium on Visualization for Cyber Security, VizSec",,"Hybrid, Melbourne"
"IEEE Malaysia International Conference on Communication, MICC",2023,Kuala Lumpur
"IEEE International Conference on Next Generation Electronics, NEleX",2023,Vellore
"IEEE International Conference on Computing, Communication, and Intelligent Systems, ICCCIS",2023,Greater Noida
"International Conference on Information Technology and Digital Applications, ICITDA",2023,Yogyakarta
"International Conference on Big Data and Information Analytics, BigDIA",2023,Haikou
"International Conference on Ambient Intelligence in Health Care, ICAIHC",2023,Bhubaneswar
"International Conference on Intelligent Cybernetics Technology and Applications, ICICyTA",2023,"Hybrid, Bali"
"International Conference on Integration of Computational Intelligent System, ICICIS",2023,Pune
"OITS International Conference on Information Technology, OCIT",2023,Raipur
"IEEE Afro-Mediterranean Conference on Artificial Intelligence, AMCAI",2023,Hammamet
"International Conference on Advances in Computational Intelligence and Communication, ICACIC",2023,Puducherry
"International Conference on the Confluence of Advancements in Robotics, Vision and Interdisciplinary Technology Management, IC-RVITM",2023,Bangalore
"1st IEEE Colombian Caribbean Conference, C3 2023",2023,Barranquilla
"International Conference on Information Systems and Computing Technology, ISCTech",2023,Qingdao
"Workshop on Recent Advances in Slavonic Natural Language Processing, RASLAN",2023,Kouty nad Desnou
"IEEE International Joint Conference on Biometrics, IJCB",2023,Ljubljana
"International Scientific Conference ""Information Technology and Implementation"", IT and I-WS",2023,Kyiv
"IEEE International Conference on Systems and Control, ICSC",2023,Sousse
"International Conference on Data Science, Agents and Artificial Intelligence, ICDSAAI",2023,Chennai
"International Conference on Information and Communications Technology, ICOIACT",,Yogyakarta
"International Conference on Computer Network Security and Software Engineering, CNSSE",2023,Sanya
"IEEE Pune Section International Conference, PuneCon",2023,Pune
"International Conference on Grey Literature: Confronting Climate Change with Trusted Grey Resources, GL",2023,Amsterdam
"International Conference on Emerging Frontiers in Electrical and Electronic Technologies, ICEFEET",2023,Patna
"International Conference on Database Theory, ICDT",2024,Paestum
"Joint Conference, EDBT/ICDT-WS",,Paestum
- Findings of EACL,2024,St. Julian's
"IEEE International Conference on ICT in Business Industry and Government, ICTBIG",2023,Indore
"International Conference on Electronics, Information, and Communication, ICEIC",2024,Taipei
"Conference on Artificial Intelligence, Blockchain, Computing and Security, ICABCS",2023,Greater Noida
